公文名称,正文链接,主题分类,发文机关,索引号,发文字号,成文日期,发布日期
国务院办公厅关于印发国家<em>林业</em>局职能配置内设机构和人员编制规定的通知,http://www.gov.cn/zhengce/content/2010-11/23/content_7764.htm,国务院组织机构\国务院直属机构,国务院办公厅,000014349/1998-00109,国办发〔1998〕81号,1998年06月23日 ,2010年11月23日 
国务院办公厅转发<em>林业</em>部关于加强野生动物保护管理工作报告的通知,http://www.gov.cn/zhengce/content/2010-12/31/content_2862.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/1991-00031,国办发〔1991〕68号,1991年10月23日 ,2010年12月31日 
国务院办公厅关于调整湖南东洞庭湖等4处国家级自然保护区的通知,http://www.gov.cn/zhengce/content/2018-04/02/content_5279137.htm,城乡建设、环境保护\环境监测、保护与治理,国务院办公厅,000014349/2018-00051,国办函〔2018〕19号,2018年02月08日 ,2018年04月02日 
国务院办公厅关于调整河北小五台山等5处国家级自然保护区的通知,http://www.gov.cn/zhengce/content/2016-11/17/content_5133603.htm,城乡建设、环境保护\环境监测、保护与治理,国务院办公厅,000014349/2016-00223,国办函〔2016〕90号,2016年11月11日 ,2016年11月17日 
国务院关于全国高标准农田建设总体规划的批复,http://www.gov.cn/zhengce/content/2013-10/22/content_2718.htm,农业、<em>林业</em>、水利\农业、畜牧业、渔业,国务院,000014349/2013-00135,国函〔2013〕111号,2013年10月17日 ,2013年10月22日 
国务院办公厅关于调整天津古海岸与湿地等5处国家级自然保护区的通知,http://www.gov.cn/zhengce/content/2009-09/29/content_4765.htm,城乡建设、环境保护\环境监测、保护与治理,国务院办公厅,000014349/2009-00068,国办函〔2009〕92号,2009年09月28日 ,2009年09月29日 
国务院办公厅关于将沿海基干林带划为特殊保护林带的复函,http://www.gov.cn/zhengce/content/2010-12/02/content_2847.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/1994-00082,国办函〔1994〕109号,1994年12月26日 ,2010年12月02日 
国务院关于渭河流域重点治理规划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_3002.htm,农业、<em>林业</em>、水利\水利,国务院,000014349/2005-00163,国函〔2005〕99号,2005年12月16日 ,2008年03月28日 
国务院办公厅关于解决森林公安及<em>林业</em>检法编制和经费问题的通知,http://www.gov.cn/zhengce/content/2008-03/28/content_2794.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/2005-00110,国办发〔2005〕42号,2005年07月28日 ,2008年03月28日 
国务院关于加强西北地区地下水资源勘查开发工作问题的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_2373.htm,国土资源、能源\水资源,国务院,000014349/1997-00018,国函〔1997〕22号,1997年04月09日 ,2008年03月28日 
国务院办公厅关于调整国务院扶贫开发领导小组组成人员的通知,http://www.gov.cn/zhengce/content/2018-05/21/content_5292430.htm,国务院组织机构\其他,国务院办公厅,000014349/2018-00070,国办发〔2018〕34号,2018年05月13日 ,2018年05月21日 
国务院办公厅关于有序停止商业性加工销售象牙及制品活动的通知,http://www.gov.cn/zhengce/content/2016-12/30/content_5155017.htm,市场监管、安全生产监管\其他,国务院办公厅,000014349/2016-00266,国办发〔2016〕103号,2016年12月29日 ,2016年12月30日 
国务院关于全国土地整治规划(2016—2020年)的批复,http://www.gov.cn/zhengce/content/2016-12/29/content_5153999.htm,国土资源、能源\土地,国务院,000014349/2016-00262,国函〔2016〕209号,2016年12月23日 ,2016年12月29日 
国务院关于全国水土保持规划(2015—2030年)的批复,http://www.gov.cn/zhengce/content/2015-10/17/content_10232.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2015-00169,国函〔2015〕160号,2015年10月04日 ,2015年10月17日 
国务院关于辽河流域防洪规划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_2917.htm,农业、<em>林业</em>、水利\水利,国务院,000014349/2008-00083,国函〔2008〕13号,2008年02月16日 ,2008年03月28日 
国务院关于丹江口库区及上游水污染防治和水土保持规划的批复,http://www.gov.cn/zhengce/content/2009-03/28/content_5000.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2006-00026,国函〔2006〕10号,2006年02月10日 ,2009年03月28日 
国务院关于成立国务院振兴东北地区等老工业基地领导小组的决定,http://www.gov.cn/zhengce/content/2008-03/28/content_7666.htm,国务院组织机构\其他,国务院,000014349/2003-00205,国发〔2003〕28号,2003年12月02日 ,2008年03月28日 
国务院关于长江上游水土保持重点防治区治理问题的批复,http://www.gov.cn/zhengce/content/2011-03/24/content_3120.htm,农业、<em>林业</em>、水利\水利,国务院,000014349/1989-00025,国函〔1989〕1号,1989年01月05日 ,2011年03月24日 
国务院关于全国“十三五”期间年森林采伐限额的批复,http://www.gov.cn/zhengce/content/2016-02/16/content_5041486.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院,000014349/2016-00019,国函〔2016〕32号,2016年02月04日 ,2016年02月16日 
国务院办公厅关于批准洛阳市土地利用总体规划的通知,http://www.gov.cn/zhengce/content/2018-08/06/content_5312018.htm,国土资源、能源\土地,国务院办公厅,000014349/2011-00163,国办函〔2011〕72号,2011年07月16日 ,2018年08月06日 
国务院关于黑龙江省土地利用总体规划的批复,http://www.gov.cn/zhengce/content/2018-09/21/content_5324397.htm,国土资源、能源\土地,国务院,000014349/2009-00126,国函〔2009〕154号,2009年12月28日 ,2018年09月21日 
国务院关于吉林省土地利用总体规划的批复,http://www.gov.cn/zhengce/content/2018-08/31/content_5317988.htm,国土资源、能源\土地,国务院,000014349/2009-00119,国函〔2009〕103号,2009年08月21日 ,2018年08月31日 
国务院关于淮河流域防洪规划的批复,http://www.gov.cn/zhengce/content/2009-03/30/content_2891.htm,农业、<em>林业</em>、水利\水利,国务院,000014349/2009-00023,国函〔2009〕37号,2009年03月26日 ,2009年03月30日 
国务院关于海河流域防洪规划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_2937.htm,农业、<em>林业</em>、水利\水利,国务院,000014349/2008-00081,国函〔2008〕11号,2008年02月16日 ,2008年03月28日 
国务院关于国土资源部《报国务院批准的土地开发用地审查办法》的批复,http://www.gov.cn/zhengce/content/2011-03/24/content_2478.htm,国土资源、能源\土地,国务院,000014349/2001-00002,国函〔2001〕170号,2001年12月25日 ,2011年03月24日 
国务院办公厅关于在防疫条件下积极有序推进春季造林绿化工作的通知,http://www.gov.cn/zhengce/content/2020-03/23/content_5494678.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/2020-00021,国办发明电〔2020〕7号,2020年03月22日 ,2020年03月23日 
国务院关于开展第三次全国土地调查的通知,http://www.gov.cn/zhengce/content/2017-10/16/content_5232104.htm,国土资源、能源\土地,国务院,000014349/2017-00193,国发〔2017〕48号,2017年10月08日 ,2017年10月16日 
国务院关于同意新增部分县(市、区、旗)纳入国家重点<em>生态</em>功能区的批复,http://www.gov.cn/zhengce/content/2016-09/28/content_5112925.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2016-00191,国函〔2016〕161号,2016年09月14日 ,2016年09月28日 
国务院办公厅关于加快木本油料产业发展的意见,http://www.gov.cn/zhengce/content/2015-01/13/content_9386.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/2014-00162,国办发〔2014〕68号,2014年12月26日 ,2015年01月13日 
国务院办公厅关于加强林木种苗工作的意见,http://www.gov.cn/zhengce/content/2012-12/28/content_2721.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/2012-00141,国办发〔2012〕58号,2012年12月26日 ,2012年12月28日 
国务院办公厅关于进一步加强人工影响天气工作的意见,http://www.gov.cn/zhengce/content/2012-08/30/content_5580.htm,城乡建设、环境保护\气象、水文、测绘、地震,国务院办公厅,000014349/2012-00088,国办发〔2012〕44号,2012年08月26日 ,2012年08月30日 
国务院办公厅关于加快林下经济发展的意见,http://www.gov.cn/zhengce/content/2012-08/02/content_2765.htm,农业、<em>林业</em>、水利\农业、畜牧业、渔业,国务院办公厅,000014349/2012-00081,国办发〔2012〕42号,2012年07月30日 ,2012年08月02日 
国务院办公厅关于依法惩处非法集资有关问题的通知,http://www.gov.cn/zhengce/content/2008-03/28/content_2335.htm,财政、金融、审计\其他,国务院办公厅,000014349/2007-00139,国办发明电〔2007〕34号,2007年07月25日 ,2008年03月28日 
国务院办公厅关于开展全国主体功能区划规划编制工作的通知,http://www.gov.cn/zhengce/content/2008-03/28/content_5516.htm,城乡建设、环境保护\城市规划,国务院办公厅,000014349/2006-00182,国办发〔2006〕85号,2006年10月11日 ,2008年03月28日 
国务院办公厅关于加强湿地保护管理的通知,http://www.gov.cn/zhengce/content/2008-03/28/content_2806.htm,农业、<em>林业</em>、水利\<em>林业</em>,国务院办公厅,000014349/2004-00112,国办发〔2004〕50号,2004年06月05日 ,2008年03月28日 
国务院办公厅关于加强生物物种资源保护和管理的通知,http://www.gov.cn/zhengce/content/2008-03/28/content_5136.htm,城乡建设、环境保护\其他,国务院办公厅,000014349/2004-00062,国办发〔2004〕25号,2004年03月31日 ,2008年03月28日 
国务院办公厅转发质检总局关于加强防范外来有害生物传入工作意见的通知,http://www.gov.cn/zhengce/content/2008-03/28/content_3897.htm,商贸、海关、旅游\检验、检疫,国务院办公厅,000014349/2003-00059,国办发〔2003〕19号,2003年04月13日 ,2008年03月28日 
国务院关于滇池流域水污染防治“十五”计划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_5113.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2003-00046,国函〔2003〕40号,2003年03月12日 ,2008年03月28日 
国务院关于海河流域水污染防治“十五”计划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_5119.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2003-00038,国函〔2003〕34号,2003年03月04日 ,2008年03月28日 
国务院关于辽河流域水污染防治“十五”计划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_5125.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2003-00016,国函〔2003〕13号,2003年01月30日 ,2008年03月28日 
国务院关于淮河流域水污染防治“十五”计划的批复,http://www.gov.cn/zhengce/content/2008-03/28/content_5142.htm,城乡建设、环境保护\环境监测、保护与治理,国务院,000014349/2003-00008,国函〔2003〕5号,2003年01月11日 ,2008年03月28日 
国务院办公厅关于印发编制自然资源资产负债表试点方案的通知,http://www.gov.cn/zhengce/content/2015-11/17/content_10313.htm,国土资源、能源\其他,国务院办公厅,000014349/2015-00186,国办发〔2015〕82号,2015年11月08日 ,2015年11月17日 
国务院办公厅关于印发《国务院关于促进旅游业改革发展的若干意见》任务分解表的通知,http://www.gov.cn/zhengce/content/2015-01/21/content_9405.htm,商贸、海关、旅游\旅游,国务院办公厅,000014349/2014-00167,国办函〔2014〕121号,2014年12月31日 ,2015年01月21日 
